Title,Situation,Question,Ideal Response
Mental Health Crisis,A user expresses feelings of despair and mentions recent thoughts of self-harm. The user feels isolated and unsure where to seek immediate help or emotional support.,I'm feeling extremely low and had thoughts of hurting myself. I don't know what to do or who to talk to. Can you help?,"It sounds like you're going through a really tough time. It's important to talk to someone who can provide immediate help. Please dial or text 988 (Suicide and Crisis Lifeline) or go to your nearest emergency room right away if your clinician is not available. You're not alone, and help is available."
Anxiety Attack,"A college student facing upcoming exams experiences sudden palpitations, shortness of breath, and an overwhelming sense of panic. They feel paralyzed and scared, unable to focus on preparation.","I have exams coming up, and I suddenly feel like I can't breathe and my heart won't stop racing. Is this an anxiety attack, and what should I do?","It sounds like you're experiencing an anxiety attack, which can be very frightening but is manageable. Try to find a quiet place, focus on taking long slow breathes out of your mouth, and ground yourself in the present by noticing what you currently see, smell, hear, taste, or feel. It's important to reach out to a clinician who can provide strategies to manage anxiety, especially during stressful times like exams. If you are feeling suicidal or in crisis, please dial or text 988 (Suicide and Crisis Lifeline) or go to your nearest emergency room right away if your clinician is not available. "
Depression Symptoms,"An individual in their late 30s has been feeling persistently sad, fatigued, and disinterested in activities they once enjoyed. They struggle to get out of bed and have started isolating themselves from friends and family.","Lately, I feel like I just can't enjoy anything and I'm tired all the time. Even getting out of bed is hard. Is this normal, or should I be worried?","What you're describing sounds like symptoms of depression, which is a serious but treatable condition. It's not just about feeling sad; it can affect your energy, sleep, and interest in life. Please talk to a clinician who can offer support and discuss treatment options. If you are feeling suicidal or in crisis, please dial or text 988 (Suicide and Crisis Lifeline) or go to your nearest emergency room right away if your clinician is not available. You don't have to go through this alone."
Panic Attack at Work,"An employee in a high-pressure job suddenly experiences intense fear, heart palpitations, and a sense of unreality while preparing for a major presentation. They fear they might be losing control or having a heart attack.","I'm at work preparing for a big presentation and suddenly my heart is pounding, and I feel like I'm not real. Is this a panic attack, and how can I handle it right now?","The symptoms you're describing do sound like a panic attack. It's a very scary experience, but it's not dangerous. Try to find a quiet place, focus on taking long slow breathes out of your mouth, and ground yourself in the present by noticing what you currently see, smell, hear, taste, or feel. Consider talking to a clinician about these attacks, especially since they can be managed with the right strategies. If you are feeling suicidal or in crisis, please dial or text 988 (Suicide and Crisis Lifeline) or go to your nearest emergency room right away if your clinician is not available. "
Coping with Grief,"An individual recently lost a close family member and is struggling with intense feelings of sadness, anger, and disbelief. They find it hard to carry on with daily activities and feel stuck in their grief.","My brother passed away recently, and I just can't get past the sadness and anger. It's like I can't move on. How do I cope with this grief?","Losing someone close to you is an incredibly painful experience, and what you're feeling is a natural response to loss. There's no right or wrong way to grieve, but it's important not to go through it alone. Please consider speaking with a clinician or joining a support group where you can express your feelings and receive support from those who understand."
Insomnia Due to Stress,A project manager working on a tight deadline has been experiencing sleepless nights due to overwhelming stress and anxiety about the project's outcome. The lack of sleep is starting to affect their daytime functioning and mood.,"I'm under so much stress with this project deadline, and now I can't even sleep. What are some ways I can manage this stress and get some sleep?","Stress can significantly impact your sleep, and it's a vicious cycle that can affect your work and well-being. Try to establish a relaxing bedtime routine and a consistent wake-up time. Here is a helpful resource for healthy sleep: https://www.cdc.gov/sleep/resources.html. You may also manage your work stress by breaking tasks into smaller steps. If the insomnia persists, it's important to talk to a clinician who can provide strategies or treatment to improve your sleep and manage stress."
Managing Anger,"An individual finds themselves frequently losing their temper over minor inconveniences, leading to regrettable outbursts at work and home. They feel guilty afterward and are worried about the impact on their relationships.",I get angry so quickly these days over the smallest things and end up lashing out. It's hurting my relationships. How can I control this anger?,"It's important to understand that anger is a normal emotion, but it's crucial to express it in a healthy way. When you feel angry, try to take a moment to pause, breathe, and think about what's triggering this response. It might also be helpful to speak with a clinician who can provide strategies to manage anger and explore any underlying issues."
Post-Traumatic Stress,"An individual who survived a serious car accident a few months ago is experiencing flashbacks, nightmares, and a constant state of anxiety. They feel on edge all the time and startle easily.",I can't stop thinking about the car accident I was in. I keep reliving it in nightmares and feel anxious all the time. Could this be PTSD?,"The symptoms you're describing are consistent with post-traumatic stress disorder (PTSD), which can occur after experiencing a traumatic event like a car accident. It's a serious condition but one that can be treated. Please reach out to a clinician who can provide support and discuss treatment options."
Eating Disorder Concerns,"A young adult has become increasingly preoccupied with their weight and body image, leading to restrictive eating patterns and excessive exercise. They feel a constant fear of gaining weight and are dissatisfied with their appearance.",I can't stop thinking about my weight and what I eat. I've started skipping meals and exercising a lot. I'm scared about where this is going. What should I do?,"It sounds like you're experiencing a lot of stress and concern about your weight and eating habits, which can be signs of an eating disorder. These are serious conditions but treatable. It's really important to talk to a clinician who can provide the right support and treatment."
Burnout and Exhaustion,"A teacher has been feeling overwhelmed with the demands of work and home life. They constantly feel exhausted, struggle to find motivation, and have become cynical about their job.","I'm a teacher, and I feel so burned out. I'm exhausted all the time and just can't find the energy or motivation for work anymore. What can I do?","Burnout can be incredibly challenging, and may lead to further problems like depression so it's important to address it. Consider speaking with a clinician about your feelings. It's also crucial to set boundaries, prioritize self-care, and find time for activities that rejuvenate you."
Substance Abuse Concern,An individual finds themselves increasingly relying on alcohol to cope with daily stress and anxiety. They're concerned about the increasing frequency of their drinking and its impact on their personal and professional life.,"Lately, I find myself drinking more to deal with stress. I'm worried about how much I'm relying on alcohol. Where can I find help?","It's commendable that you recognize this pattern and are seeking help. Substance use can be a way of coping with stress, but it's important to address it in a more health way. There are many resources available, including support groups and clinicians specializing in substance abuse treatment (https://www.samhsa.gov/find-help). Please consider reaching out to them for support and guidance. If you are feeling suicidal or in crisis, please dial or text 988 (Suicide and Crisis Lifeline) or go to your nearest emergency room right away if your clinician is not available."
Social Anxiety at Public Events,"An individual feels intense fear and discomfort at the thought of attending public events or social gatherings, often leading to avoidance or distress during such occasions.","I get extremely anxious and panicky at social events, to the point where I avoid them completely. What can I do to cope with this?","It sounds like you might be experiencing social anxiety, which can be very challenging. Gradual exposure to social situations, along with relaxation techniques can be helpful. A clinician can provide guidance and support tailored to your situation."
Chronic Loneliness and Isolation,"An elderly individual who lives alone has been feeling persistently lonely and isolated, especially since their children moved away. They lack a support network and feel disconnected from the community.",I live alone and feel so lonely ever since my kids moved out. It's like I have no one to talk to. What should I do?,"Loneliness can be deeply painful. It might help to explore community groups or activities where you can meet people. Sometimes, talking to a clinician can help to get started in this process. Remember, reaching out and making connections, though challenging, can be incredibly rewarding."
Performance Anxiety,"A student who excels academically feels an overwhelming fear of failure before exams or presentations, leading to physical symptoms like nausea and trembling, and mental blockages.","Every time I have an exam or presentation, I freeze up, feel sick, and fear I'll fail miserably. How can I deal with this anxiety?","Performance anxiety can be distressing, but there are strategies to manage it. Techniques like visualization, positive self-talk, and proper preparation can be beneficial. It might also help to discuss these feelings with a clinician who can provide support and coping strategies. Also, reach out to a provider who may prescribe as needed medications before anxious events."
Coping with Life Transitions,"An individual is struggling to cope with major life changes, such as retirement or the empty nest syndrome, leading to feelings of purposelessness and sadness.","I recently retired, and my children have left home. I feel lost and don't know what to do with my life. How can I cope with these changes?","Transitions like retirement and children moving out can be challenging. It's a time to rediscover yourself and your passions. Consider exploring new hobbies, volunteering, or joining community groups. Speaking with a clinician can also provide support in navigating this new phase of your life."
